height,weight,chest,waist,hip,size
150,45,82,64,88,S
152,47,84,66,90,S
155,50,86,68,92,S
158,52,88,70,94,S
160,54,90,72,96,M
162,56,92,74,98,M
165,58,94,76,100,M
168,60,96,78,102,M
170,62,98,80,104,M
172,64,100,82,106,L
175,66,102,84,108,L
178,70,104,86,110,L
180,72,106,88,112,L
182,75,108,90,114,XL
185,78,110,92,116,XL
150,48,83,65,89,S
153,49,85,67,91,S
156,51,87,69,93,S
159,53,89,71,95,M
161,55,91,73,97,M
164,57,93,75,99,M
167,59,95,77,101,M
169,61,97,79,103,M
171,63,99,81,105,L
174,65,101,83,107,L
176,68,103,85,109,L
179,71,105,87,111,L
181,73,107,89,113,XL
183,76,109,91,115,XL
186,80,111,93,117,XL
151,46,82,64,88,S
154,48,84,66,90,S
157,50,86,68,92,S
160,53,88,70,94,S
162,55,90,72,96,M
165,57,92,74,98,M
168,59,94,76,100,M
170,61,96,78,102,M
172,63,98,80,104,M
175,65,100,82,106,L
178,68,102,84,108,L
180,70,104,86,110,L
182,72,106,88,112,L
185,75,108,90,114,XL
187,78,110,92,116,XL
152,47,83,65,89,S
155,49,85,67,91,S
158,51,87,69,93,S
160,53,89,71,95,M
163,55,91,73,97,M
166,57,93,75,99,M
169,59,95,77,101,M
171,61,97,79,103,M
173,63,99,81,105,L
176,65,101,83,107,L
179,68,103,85,109,L
181,70,105,87,111,L
183,73,107,89,113,XL
186,76,109,91,115,XL
188,80,111,93,117,XL
150,45,82,64,88,S
155,50,86,68,92,S
160,55,90,72,96,M
165,60,94,76,100,M
170,65,98,80,104,M
175,70,102,84,108,L
180,75,106,88,112,L
185,80,110,92,116,XL
152,48,84,66,90,S
158,52,88,70,94,S
162,56,92,74,98,M
168,60,96,78,102,M
172,64,100,82,106,L
178,68,104,86,110,L
182,72,108,90,114,XL
186,78,110,92,116,XL
